Validation Loss: 0.1413
Validation PSNR: 13.4258
Validation SSIM: 0.0523
Time taken for epoch 1: 48.1163 seconds
----------
epoch 2/100
Step 1/66, Charbonnier Loss: 0.1420, Pixel Loss: 0.1420, Combined Loss: 0.2839, Gradient Norm: 0.5415, Step time: 0.5211 sec
Step 2/66, Charbonnier Loss: 0.1399, Pixel Loss: 0.1399, Combined Loss: 0.2797, Gradient Norm: 0.5036, Step time: 0.5172 sec
Step 3/66, Charbonnier Loss: 0.1399, Pixel Loss: 0.1399, Combined Loss: 0.2798, Gradient Norm: 0.4480, Step time: 0.5162 sec
Step 4/66, Charbonnier Loss: 0.1389, Pixel Loss: 0.1389, Combined Loss: 0.2778, Gradient Norm: 0.3967, Step time: 0.5170 sec
Step 5/66, Charbonnier Loss: 0.1368, Pixel Loss: 0.1368, Combined Loss: 0.2736, Gradient Norm: 0.3417, Step time: 0.5194 sec
Step 6/66, Charbonnier Loss: 0.1347, Pixel Loss: 0.1347, Combined Loss: 0.2694, Gradient Norm: 0.2906, Step time: 0.5167 sec
Step 7/66, Charbonnier Loss: 0.1346, Pixel Loss: 0.1346, Combined Loss: 0.2693, Gradient Norm: 0.2393, Step time: 0.5173 sec
Step 8/66, Charbonnier Loss: 0.1348, Pixel Loss: 0.1348, Combined Loss: 0.2696, Gradient Norm: 0.2053, Step time: 0.5193 sec
Step 9/66, Charbonnier Loss: 0.1347, Pixel Loss: 0.1347, Combined Loss: 0.2693, Gradient Norm: 0.1696, Step time: 0.5190 sec
Step 10/66, Charbonnier Loss: 0.1338, Pixel Loss: 0.1338, Combined Loss: 0.2676, Gradient Norm: 0.1554, Step time: 0.5160 sec
Step 11/66, Charbonnier Loss: 0.1333, Pixel Loss: 0.1333, Combined Loss: 0.2666, Gradient Norm: 0.1596, Step time: 0.5201 sec
Step 12/66, Charbonnier Loss: 0.1346, Pixel Loss: 0.1346, Combined Loss: 0.2691, Gradient Norm: 0.1672, Step time: 0.5199 sec
Step 13/66, Charbonnier Loss: 0.1336, Pixel Loss: 0.1336, Combined Loss: 0.2673, Gradient Norm: 0.1762, Step time: 0.5171 sec
Step 14/66, Charbonnier Loss: 0.1330, Pixel Loss: 0.1330, Combined Loss: 0.2659, Gradient Norm: 0.1941, Step time: 0.5201 sec
Step 15/66, Charbonnier Loss: 0.1348, Pixel Loss: 0.1348, Combined Loss: 0.2695, Gradient Norm: 0.2052, Step time: 0.5232 sec
Step 16/66, Charbonnier Loss: 0.1330, Pixel Loss: 0.1330, Combined Loss: 0.2660, Gradient Norm: 0.2228, Step time: 0.5154 sec
Step 17/66, Charbonnier Loss: 0.1339, Pixel Loss: 0.1339, Combined Loss: 0.2678, Gradient Norm: 0.2296, Step time: 0.5172 sec
Step 18/66, Charbonnier Loss: 0.1333, Pixel Loss: 0.1333, Combined Loss: 0.2667, Gradient Norm: 0.2365, Step time: 0.5211 sec
Step 19/66, Charbonnier Loss: 0.1355, Pixel Loss: 0.1355, Combined Loss: 0.2710, Gradient Norm: 0.2407, Step time: 0.5182 sec
Step 20/66, Charbonnier Loss: 0.1371, Pixel Loss: 0.1371, Combined Loss: 0.2743, Gradient Norm: 0.2322, Step time: 0.5211 sec
Step 21/66, Charbonnier Loss: 0.1356, Pixel Loss: 0.1356, Combined Loss: 0.2711, Gradient Norm: 0.2237, Step time: 0.5205 sec
Step 22/66, Charbonnier Loss: 0.1348, Pixel Loss: 0.1348, Combined Loss: 0.2697, Gradient Norm: 0.2197, Step time: 0.5214 sec
Step 23/66, Charbonnier Loss: 0.1333, Pixel Loss: 0.1333, Combined Loss: 0.2666, Gradient Norm: 0.2138, Step time: 0.5195 sec
Step 24/66, Charbonnier Loss: 0.1337, Pixel Loss: 0.1337, Combined Loss: 0.2674, Gradient Norm: 0.2062, Step time: 0.5218 sec
Step 25/66, Charbonnier Loss: 0.1336, Pixel Loss: 0.1336, Combined Loss: 0.2672, Gradient Norm: 0.1908, Step time: 0.5172 sec
Step 26/66, Charbonnier Loss: 0.1345, Pixel Loss: 0.1345, Combined Loss: 0.2690, Gradient Norm: 0.1755, Step time: 0.5192 sec
Step 27/66, Charbonnier Loss: 0.1336, Pixel Loss: 0.1336, Combined Loss: 0.2673, Gradient Norm: 0.1632, Step time: 0.5180 sec
Step 28/66, Charbonnier Loss: 0.1354, Pixel Loss: 0.1354, Combined Loss: 0.2707, Gradient Norm: 0.1421, Step time: 0.5183 sec
Step 29/66, Charbonnier Loss: 0.1343, Pixel Loss: 0.1343, Combined Loss: 0.2686, Gradient Norm: 0.1269, Step time: 0.5189 sec
Step 30/66, Charbonnier Loss: 0.1323, Pixel Loss: 0.1323, Combined Loss: 0.2645, Gradient Norm: 0.1137, Step time: 0.5185 sec
Step 31/66, Charbonnier Loss: 0.1347, Pixel Loss: 0.1347, Combined Loss: 0.2695, Gradient Norm: 0.1026, Step time: 0.5190 sec
Step 32/66, Charbonnier Loss: 0.1336, Pixel Loss: 0.1336, Combined Loss: 0.2672, Gradient Norm: 0.0906, Step time: 0.5187 sec
Step 33/66, Charbonnier Loss: 0.1339, Pixel Loss: 0.1339, Combined Loss: 0.2679, Gradient Norm: 0.0828, Step time: 0.5184 sec
Step 34/66, Charbonnier Loss: 0.1335, Pixel Loss: 0.1335, Combined Loss: 0.2671, Gradient Norm: 0.0674, Step time: 0.5188 sec
Step 35/66, Charbonnier Loss: 0.1321, Pixel Loss: 0.1321, Combined Loss: 0.2642, Gradient Norm: 0.0651, Step time: 0.5178 sec
Step 36/66, Charbonnier Loss: 0.1355, Pixel Loss: 0.1355, Combined Loss: 0.2710, Gradient Norm: 0.0700, Step time: 0.5174 sec
Step 37/66, Charbonnier Loss: 0.1329, Pixel Loss: 0.1329, Combined Loss: 0.2657, Gradient Norm: 0.0758, Step time: 0.5198 sec
Step 38/66, Charbonnier Loss: 0.1325, Pixel Loss: 0.1325, Combined Loss: 0.2649, Gradient Norm: 0.0574, Step time: 0.5208 sec
Step 39/66, Charbonnier Loss: 0.1319, Pixel Loss: 0.1319, Combined Loss: 0.2637, Gradient Norm: 0.0555, Step time: 0.5181 sec
Step 40/66, Charbonnier Loss: 0.1330, Pixel Loss: 0.1330, Combined Loss: 0.2659, Gradient Norm: 0.0646, Step time: 0.5220 sec
Step 41/66, Charbonnier Loss: 0.1323, Pixel Loss: 0.1323, Combined Loss: 0.2646, Gradient Norm: 0.0949, Step time: 0.5189 sec
Step 42/66, Charbonnier Loss: 0.1324, Pixel Loss: 0.1324, Combined Loss: 0.2649, Gradient Norm: 0.0679, Step time: 0.5171 sec
Step 43/66, Charbonnier Loss: 0.1327, Pixel Loss: 0.1327, Combined Loss: 0.2654, Gradient Norm: 0.0811, Step time: 0.5217 sec
